"Country","Language Name","Language Code","Classification","Family","Is ISO Recognized","Is Sign Language","1st Language Pop","Language Vitality","Alternate Names","GRN Numbers","Varieties (ROLV)","Continent","Country Code","Is Remaining V2025 Need"
"Bangladesh","Noakhali [oak]","oak","Indo-European, Indo-Iranian, Indo-Aryan, Outer Languages, Eastern, Bengali-Assamese","Indo-European","Yes","No","10,500,000","6b - Threatened","Noakhailla (BD, L)Noakhailla (IN, L)Noakhalia (BD, L)Noakhalian (BD, L)","","","Asia","BD","Yes"
"Bangladesh","Pangkhua [pkh]","pkh","Sino-Tibetan, Tibeto-Burman, Kuki-Chin, Central","Sino-Tibetan","Yes","No","2,4","6a - Threatened","Paang (IN, L)Pang (IN, L)Pang Khua (IN, L)Pangkhu (BD, L)Pangkhu (IN, L)Pankho (BD, L)Pankho (IN, L)Pankhu (BD, L)Pankhua (IN, L)Panko (BD, L)Panko (IN, L)Pankua (IN, L)","Pankhu (840, GRN rec: No)Pankhu (840, GRN rec: No)Pangkhu (4417, GRN rec: Yes)Pangkhu (4417, GRN rec: Yes)Pangkhua: Bilaichari (29902, GRN rec: No)Pangkhua: Bilaichari (29902, GRN rec: No)Pangkhua: Konglak (29903, GRN rec: No)Pangkhua: Konglak (29903, GRN rec: No)","Pangkhu (04417)Bilaichari (29902)Konglak (29903)","Asia","BD","No"
"Bangladesh","Rangpuri [rkt]","rkt","Indo-European, Indo-Iranian, Indo-Aryan, Outer Languages, Eastern, Bengali-Assamese","Indo-European","Yes","No","10,476,000","5 - Developing","Anchalit Bangla (BD, L)Bahe (BD, L)Bahe Bangla (BD, L)Deshi Bhasa (BD, L)Deshi Bhasa (IN, L)Dhekia (BD, L)Dhekri (BD, L)Goalparia (IN, L)Kamata (IN, L)Kamta (IN, L)Koch Rajbanshi (IN, L)Polia (BD, L)Rajbangsi (IN, L)Rajbanshi (IN, L)Rajbansi (IN, L)Rajbongshi (IN, L)","Rangpuri (20466, GRN rec: No)Rangpuri (20466, GRN rec: No)Kamtapuri [India] (25227, GRN rec: No)Kamtapuri [India] (25227, GRN rec: No)","","Asia","BD","No"
"Bangladesh","Marma [rmz]","rmz","Sino-Tibetan, Tibeto-Burman, Ngwi-Burmese, Burmish, Southern","Sino-Tibetan","Yes","No","260,7","3 - Wider Communication","Arkanese-Marma (BD, L)Arkanese-Marma (IN, L)Mraima (BD, L)Mraima (IN, L)","Marma (4419, GRN rec: Yes)Marma (4419, GRN rec: Yes)","","Asia","BD","No"
"Bangladesh","Sadri, Oraon [sdr]","sdr","Indo-European, Indo-Iranian, Indo-Aryan, Outer Languages, Eastern, Bihari","Indo-European","Yes","No","166","6b - Threatened","Pahan (BD, L)","Sadri: Chillo-Millo (4418, GRN rec: Yes)Sadri (4704, GRN rec: Yes)Sadri, Oraon: Borail Sadri (16162, GRN rec: Yes)Sadri, Oraon: Nurpur Sadri (16164, GRN rec: No)Sadri, Oraon: Uchai Sadri (16165, GRN rec: No)","Chillo-Millo (04418)Borail (16162)Nurpur (16164)Uchai (16165)","Asia","BD","No"
"Bangladesh","Sylheti [syl]","syl","Indo-European, Indo-Iranian, Indo-Aryan, Outer Languages, Eastern, Bengali-Assamese","Indo-European","Yes","No","10,420,000","3 - Wider Communication","Bengali of Cachar (IN, L)Sileti (BD, L)Sileti (IN, L)Siloti (BD, L)Siloti (IN, L)Srihattia (BD, L)Srihattia (IN, L)Sylheti Bangla (IN, L)Sylheti Bengali (IN, L)Sylhetti (BD, L)Sylhetti (IN, L)Sylhetti Bangla (BD, L)Syloti (BD, L)Syloti (IN, L)Syloty (BD, L)Syloty (IN, L)","Sylheti (655, GRN rec: Yes)Sylheti (655, GRN rec: Yes)","","Asia","BD","No"
"Bangladesh","Tangchangya [tnv]","tnv","Indo-European, Indo-Iranian, Indo-Aryan, Outer Languages, Eastern, Bengali-Assamese","Indo-European","Yes","No","46","6a - Vigorous","Tanchangya (BD, L)Tonchonga (BD, L)","Tangchangya: Anikya (5112, GRN rec: Yes)Tangchangya (5400, GRN rec: Yes)","Anikya (05112)","Asia","BD","No"
"Bangladesh","Tippera [tpe]","tpe","Sino-Tibetan, Tibeto-Burman, Sal, Boro-Garo","Sino-Tibetan","Yes","No","157","4 - Educational","Hill Tippera (BD, L)Tipperah (BD, L)Tippurah (BD, L)Tipra (BD, L)Tipura (BD, L)Triperah (BD, L)Tripura (BD, L)","Tippera (4336, GRN rec: Yes)Tippera: Anok (25634, GRN rec: No)Tippera: Aslong (25635, GRN rec: No)Tippera: Dendak (25636, GRN rec: No)Tippera: Gabing (25637, GRN rec: No)Tippera: Kema (25639, GRN rec: No)Tippera: Kewa (25640, GRN rec: No)Tippera: Khali (25641, GRN rec: No)Tippera: Naitong (25642, GRN rec: No)Tippera: Phatung (25643, GRN rec: No)Tippera: Tongpai (25644, GRN rec: No)","Anok (25634)Aslong (25635)Dendak (25636)Gabing (25637)Kema (25639)Kewa (25640)Khali (25641)Naitong (25642)Phatung (25643)Tongpai (25644)","Asia","BD","No"
"Bangladesh","Usoi [usi]","usi","Sino-Tibetan, Tibeto-Burman, Sal, Boro-Garo, Dimasa-Kokborok, Kok Borok","Sino-Tibetan","Yes","No","22,4","5 - Developing","Kaobrung (BD, L)Kau Brung (BD, L)Unshoi (BD, L)Unsuiy (BD, L)Ushoi (BD, L)Usui (BD, L)","Uchoi (2840, GRN rec: Yes)Tripura: Ushai (3255, GRN rec: Yes)Uchoi: Joloi (25645, GRN rec: No)Uchoi: Panji (25646, GRN rec: No)","Ushai (03255)Joloi (25645)Panji (25646)","Asia","BD","No"
"Bhutan","Brokpake [sgt]","sgt","Sino-Tibetan, Tibeto-Burman, Western Tibeto-Burman, Bodish, Central Bodish, Central, Southern","Sino-Tibetan","Yes","No","5","6b - Threatened","Brokpa (BT, L)Dakpa (BT, L)Damilo (BT, L)Dap (BT, L)Drokpakay (BT, L)Jobikha (BT, L)Mera Sagtengpa (BT, L)Meragsagstengkha (BT, L)Mira Sagtengpa (BT, L)Sagtengpa (BT, L)","Brokpake (8373, GRN rec: No)","","Asia","BT","No"
