"Country","Language Name","Language Code","Classification","Family","Is ISO Recognized","Is Sign Language","1st Language Pop","Language Vitality","Alternate Names","GRN Numbers","Varieties (ROLV)","Continent","Country Code","Is Remaining V2025 Need"
"China","Sign Language in Shandong [CN22]","CN22","","","No","Yes","301","6a - NA","","","","Asia","CN","Yes"
"China","Heilongjiang Sign Language [CN25]","CN25","","","No","Yes","115","6a - NA","","","","Asia","CN","Yes"
"China","Hubei Sign Language [CN26]","CN26","","","No","Yes","176","6a - NA","","","","Asia","CN","Yes"
"China","Ningxia Sign Language [CN27]","CN27","","","No","Yes","19","6a - NA","","","","Asia","CN","Yes"
"China","Sign Language in Zhejiang [CN31]","CN31","","","No","Yes","172","6a - NA","","","","Asia","CN","Yes"
"China","Beijing Sign Language [CN35]","CN35","","","No","Yes","72","6a - NA","","","","Asia","CN","Yes"
"China","Shanghai Sign Language [CN37]","CN37","","","No","Yes","102","6a - NA","Shanghainese Sign Language (CN, S)","","","Asia","CN","Yes"
"China","Guizhou Sign Language [CN42]","CN42","","","No","Yes","104","6a - NA","","","","Asia","CN","Yes"
"China","Chongqing Sign Language [CN45]","CN45","","","No","Yes","93","6a - NA","","","","Asia","CN","Yes"
"China","Henan Sign Language [CN46]","CN46","","","No","Yes","287","6a - NA","","","","Asia","CN","Yes"
"China","Guangdong Sign Language [CN48]","CN48","","","No","Yes","340","6a - NA","","","","Asia","CN","Yes"
"China","Hunan Sign Language [CN49]","CN49","","","No","Yes","202","6a - NA","","","","Asia","CN","Yes"
"China","Sign Language in Tianjin [CN51]","CN51","","","No","Yes","47","6a - NA","","","","Asia","CN","Yes"
"China","Jilin Sign Language [CN56]","CN56","","","No","Yes","82","6a - NA","","","","Asia","CN","Yes"
"China","Qinghai Sign Language [CN57]","CN57","","","No","Yes","17","6a - NA","","","","Asia","CN","Yes"
"China","Fujian Sign Language [CN62]","CN62","","","No","Yes","116","6a - NA","","","","Asia","CN","Yes"
"China","Sign Language in Liaoning [CN63]","CN63","","","No","Yes","132","6a - NA","","","","Asia","CN","Yes"
"China","Shanxi Sign Language [CN64]","CN64","","","No","Yes","110","6a - NA","","","","Asia","CN","Yes"
"China","Anhui Sign Language [CN65]","CN65","","","No","Yes","186","6a - NA","","","","Asia","CN","Yes"
"China","Jiangxi Sign Language [CN67]","CN67","","","No","Yes","136","6a - NA","","","","Asia","CN","Yes"
"China","Sign Language in Shigatse [CN72]","CN72","","","No","Yes","2","6a - NA","","","","Asia","CN","Yes"
"China","Guanxi Sign Language [CN74]","CN74","","","No","Yes","145","6a - NA","","","","Asia","CN","Yes"
"China","Sign Language in Nei Mongol [CN75]","CN75","","","No","Yes","75","6a - NA","","","","Asia","CN","Yes"
"China","Shaanxi Sign Language [CN76]","CN76","","","No","Yes","112","6a - NA","","","","Asia","CN","Yes"
"China","Hainan Sign Language [CN83]","CN83","","","No","Yes","28","6a - NA","","","","Asia","CN","Yes"
"China","Sign Language in Jiangsu [CN84]","CN84","","","No","Yes","241","6a - NA","","","","Asia","CN","Yes"
"China","Gansu Sign Language [CN86]","CN86","","","No","Yes","79","6a - NA","","","","Asia","CN","Yes"
"China","Yunnan Sign Language [CN93]","CN93","","","No","Yes","138","6a - NA","","","","Asia","CN","No"
"China","Sign Language in Sichuan [CN96]","CN96","","","No","Yes","243","6a - NA","","","","Asia","CN","Yes"
"China","Sign Language in Hebei [CN97]","CN97","","","No","Yes","224","6a - NA","","","","Asia","CN","Yes"
"China","Sign Language in Xinjiang [CN99]","CN99","","","No","Yes","65","6a - NA","","","","Asia","CN","Yes"
"China","Qiang, Northern [cng]","cng","Sino-Tibetan, Tibeto-Burman, Northeastern Tibeto-Burman, Qiangic","Sino-Tibetan","Yes","No","57,8","7 - Shifting","Yadu (CN, L)Ch'iang (CN, L)","Qiang, Northern (15821, GRN rec: No)Qiang, Northern: Cimulin (15822, GRN rec: No)Qiang, Northern: Luhua (15823, GRN rec: No)Qiang, Northern: Weigu (15824, GRN rec: No)Qiang, Northern: Qugu (15825, GRN rec: No)Qiang, Northern: Mawo (24672, GRN rec: No)","Cimulin (15822)Luhua (15823)Weigu (15824)Qugu (15825)Mawo (24672)","Asia","CN","No"
"China","Pinghua, Northern [cnp]","cnp","Sino-Tibetan, Chinese","Sino-Tibetan","Yes","No","1,760,000","5 - Developing","Guìběi Pínghuà (CN, L)Northern Guangxi (CN, L)Northern Ping Chinese (CN, L)","Pinghua, Northern (23833, GRN rec: No)","","Asia","CN","No"
"China","Cao Miao [cov]","cov","Kra-Dai, Kam-Tai, Kam-Sui","Kra-Dai","Yes","No","63,6","6a - Vigorous","Grass Miao (CN, L)mjiu ɲaŋ (CN, L)Mjiuniang (CN, L)Sanjiang Miao (CN, L)","Cao Miao, Sanjiang (6333, GRN rec: Yes)","","Asia","CN","Yes"
"China","Chinese, Pu-Xian [cpx]","cpx","Sino-Tibetan, Chinese","Sino-Tibetan","Yes","No","3,111,700","5 - Developing","Hinghua (MY, L)Hinghua (SG, L)Hsinghua (MY, L)Xinghua (SG, L)Heng (CN, L)Henghua (CN, L)Hing (CN, L)Hinghua (CN, L)Hsien (CN, L)Hsienyu (CN, L)Hsing (CN, L)Hsinghua (CN, L)Putian (CN, L)Putten (CN, L)Xianyou (CN, L)Xing (CN, L)Xinghua (CN, L)","Chinese, Puxian (421, GRN rec: Yes)Chinese, Puxian (421, GRN rec: Yes)Chinese, Puxian (421, GRN rec: Yes)Chinese, Pu-Xian: Xianyou (8861, GRN rec: No)Chinese, Pu-Xian: Xianyou (8861, GRN rec: No)Chinese, Pu-Xian: Xianyou (8861, GRN rec: No)Chinese, Pu-Xian: Xinghua (8862, GRN rec: No)Chinese, Pu-Xian: Xinghua (8862, GRN rec: No)Chinese, Pu-Xian: Xinghua (8862, GRN rec: No)","Xianyou (08861)Xinghua (08862)","Asia","CN","No"
"China","Miao, Chuanqiandian Cluster [cqd]","cqd","Hmong-Mien, Hmongic, Chuanqiandian","Hmong-Mien","Yes","No","1,400,000","5 - Developing","Bai Miao (CN, L)Black Hmong (CN, L)Black Mong (CN, L)Clear Water Hmong (CN, L)Dananshan Miao (CN, L)Dianxi Miao (CN, L)Downhill Hmong (CN, L)Hei Miao (CN, L)Hmong Bua (CN, L)Hmong Leng (CN, L)Hmong Ndrou (CN, L)Hmong Shi (CN, L)Hmongb Nzhuab (CN, L)Hmongb Shib (CN, L)Hongxian Miao (CN, L)Light Hmong (CN, L)Liuzhai Miao (CN, L)Luzhai Miao (CN, L)Magpie Miao (CN, L)Mong La Hou (CN, L)Mong Leng (CN, L)Mong Lenh (CN, L)Mong Shi (CN, L)Mong Si (CN, L)Mongb Lens (CN, L)Mongb Sib (CN, L)Mountain Hmong (CN, L)Paddyfield Miao (CN, L)Qingshui Miao (CN, L)Red Mong (CN, L)Red Thread Miao (CN, L)Red-headed Hmong (CN, L)River Miao (CN, L)Sichuan Miao (CN, L)Six Village Miao (CN, L)Western Yunnan Miao (CN, L)White Miao (CN, L)Yaque Miao (CN, L)Chuanchientien Miao (CN, L)Chuanqiandian Miao (CN, L)Core Farwestern Hmongic (CN, L)Hua Miao (CN, L)Sichuan-Guizhou-Yunnan Miao (CN, L)Western Miao (CN, L)","Miao, Chuanqiandian Cluster (20341, GRN rec: No)Miao, Chuanqiandian Cluster: Hmong Dou (20982, GRN rec: No)Miao, Chuanqiandian Cluster: Dananshan (20986, GRN rec: No)Miao, Chuanqiandian Cluster: Hua Miao (20987, GRN rec: No)Miao, Chuanqiandian Cluster: Hwa Miao (20988, GRN rec: No)Miao, Chuanqiandian Cluster: Mong Hoa (20989, GRN rec: No)Miao, Chuanqiandian Cluster: Flowery (20990, GRN rec: No)Miao, Chuanqiandian Cluster: Variegated Mong (20991, GRN rec: No)Miao, Chuanqiandian Cluster: Hmong Len (20994, GRN rec: No)Miao, Chuanqiandian Cluster: Mong Shi (20995, GRN rec: No)Miao, Chuanqiandian Cluster: Hmong Shi (20997, GRN rec: No)Miao, Chuanqiandian Cluster: Light Hmong (20998, GRN rec: No)Miao, Chuanqiandian Cluster: Blue Hmong (21001, GRN rec: No)Miao, Chuanqiandian Cluster: Tak (21003, GRN rec: No)Miao, Chuanqiandian Cluster: Green Hmong (21004, GRN rec: No)Miao, Chuanqiandian Cluster: Ching (21008, GRN rec: No)Miao, Chuanqiandian Cluster: Lu Miao (21009, GRN rec: No)Miao, Chuanqiandian Cluster: Meo Dam (21010, GRN rec: No)Miao, Chuanqiandian Cluster: Meo Lai (21012, GRN rec: No)Miao, Chuanqiandian Cluster: Striped Hmong (21013, GRN rec: No)Miao, Chuanqiandian Cluster: Hmong Dle Ncha (21014, GRN rec: No)Miao: Qing (21015, GRN rec: Yes)Miao, Chuanqiandian Cluster: Clear Water Hmong (21016, GRN rec: No)Miao, Chuanqiandian Cluster: Hmong La (21017, GRN rec: No)Miao, Chuanqiandian Cluster: Red Mong (21018, GRN rec: No)Miao, Chuanqiandian Cluster: Mong La Hou (21019, GRN rec: No)Miao, Chuanqiandian Cluster: Red-headed Hmong (21020, GRN rec: No)Miao, Chuanqiandian Cluster: Paddyfield (21022, GRN rec: No)Miao, Chuanqiandian Cluster: Hmong Shua Bua (21023, GRN rec: No)Miao, Chuanqiandian Cluster: Sa Pa Hmong (21024, GRN rec: No)Miao, Chuanqiandian Cluster: Hmong Den (21029, GRN rec: No)Miao, Chuanqiandian Cluster: Hmong Dlo (21030, GRN rec: No)Miao, Chuanqiandian Cluster: Hmong Bua (21031, GRN rec: No)Miao, Chuanqiandian Cluster: Hmong Sou (21032, GRN rec: No)Miao, Chuanqiandian Cluster: Hei Miao (21033, GRN rec: No)Miao, Chuanqiandian Cluster: Black Hmong (21035, GRN rec: No)Miao, Chuanqiandian Cluster: Hmong Be (21036, GRN rec: No)Miao, Chuanqiandian Cluster: Chuan (21038, GRN rec: No)Miao, Chuanqiandian Cluster: River (21039, GRN rec: No)Miao, Chuanqiandian Cluster: Sichuan (21040, GRN rec: No)Miao, Chuanqiandian Cluster: Yaque (21041, GRN rec: No)Miao, Chuanqiandian Cluster: Magpie Miao (21042, GRN rec: No)Miao, Chuanqiandian Cluster: Dianxi (21046, GRN rec: No)Miao, Chuanqiandian Cluster: Western Yunnan (21047, GRN rec: No)Miao, Chuanqiandian Cluster: White Miao (21049, GRN rec: No)Miao: Moyin (21187, GRN rec: No)Miao: Dushan (21188, GRN rec: No)Miao: Pingyan (21189, GRN rec: No)Miao: Ziyun-Zhenning (21190, GRN rec: No)Miao: Wangmo (21191, GRN rec: No)Miao: Wangmo-Luodian (21192, GRN rec: No)Miao, Chuanqiandian Cluster: Pingtang (21194, GRN rec: No)Miao, Chuanqiandian: Quianxi-Pingba-Qingzhen (21195, GRN rec: No)Miao: Kaili-Duyun-Sandu-Rongjiang-Nandan (21196, GRN rec: No)Miao, Chuanqiandian Cluster: Luzhai (24690, GRN rec: No)Miao, Chuanqiandian Cluster: Qingshui (24692, GRN rec: No)Miao, Chuanqiandian Cluster: Mong Leng (24707, GRN rec: No)Miao, Chuanqiandian Cluster: Hmong Sa (28884, GRN rec: No)Miao, Chuanqiandian Cluster: Hmong Si (28886, GRN rec: No)","Qing (21015)Hmong Bua (21031)Black Hmong (21035)Hmong Be (21036)Moyin (21187)Dushan (21188)Pingyan (21189)Ziyun-Zhenning (21190)Wangmo (21191)Wangmo-Luodian (21192)Pingtang (21194)Quianxi-Pingba-Qingzhen (21195)Kaili-Duyun-Sandu-Rongjiang-Nandan (21196)Mong Leng (24707)","Asia","CN","No"
"China","Chinese Sign Language [csl]","csl","Sign language, Deaf community sign language","Sign language","Yes","Yes","4,200,000","5 - Developing","Shanghai Sign Language (CN, L)Zhongguo Shouyu (CN, L)","Chinese Sign Language (18997, GRN rec: No)Chinese Sign Language: Southern (20795, GRN rec: No)Chinese Sign Language: Macau Sign Language (21198, GRN rec: No)","Southern (20795)Macau (21198)","Asia","CN","Yes"
"China","Pinghua, Southern [csp]","csp","Sino-Tibetan, Chinese","Sino-Tibetan","Yes","No","2,370,000","5 - Developing","Guìnán Pínghuà (CN, L)Southern Guangxi (CN, L)Southern Ping Chinese (CN, L)","Pinghua, Southern (23832, GRN rec: No)","","Asia","CN","No"
"China","Cun [cuq]","cuq","Kra-Dai, Kra, Eastern Kra","Kra-Dai","Yes","No","80","6a - Vigorous","Cunhua (CN, L)Cun-Hua (CN, L)Ngao Fon (CN, L)","Cun (9049, GRN rec: No)","","Asia","CN","No"
"China","Tai Ya [cuu]","cuu","Kra-Dai, Kam-Tai, Tai, Southwestern","Kra-Dai","Yes","No","50,4","6a - Vigorous","Cung (CN, L)Dai Ka (CN, L)Dai Sai (CN, L)Dai Zhong (CN, L)Cung (CN, L)Dai Ya (TH, L)Daiya (CN, L)Huayao Dai (CN, L)Huayaodai (TH, L)Multi-colored Waistband Tai (CN, L)Tai Chung (TH, L)Tai Cung (CN, L)Tai-Chung (CN, L)Tai-Cung (CN, L)Ya (CN, L)Ya (TH, L)Yuanxin Hongjin Dai (CN, L)","Tai Ya (17065, GRN rec: No)Tai Ya (17065, GRN rec: No)Tai Ya: Tai Kha (24728, GRN rec: No)Tai Ya: Tai Kha (24728, GRN rec: No)Tai Ya: Tai Sai (24729, GRN rec: No)Tai Ya: Tai Sai (24729, GRN rec: No)Tai Ya: Tai Chung (24731, GRN rec: No)Tai Ya: Tai Chung (24731, GRN rec: No)","Tai Kha (24728)Tai Sai (24729)Tai Chung (24731)","Asia","CN","No"
"China","Chinese, Huizhou [czh]","czh","Sino-Tibetan, Chinese","Sino-Tibetan","Yes","No","5,340,000","5 - Developing","Jixi (CN, L)Anhui (CN, L)Hui (CN, L)Hui dialect (CN, L)Huizhou (CN, L)","Chinese, Huizhou (6237, GRN rec: Yes)Chinese, Huizhou: Jing-Zhan (8828, GRN rec: No)Chinese, Huizhou: Ji-She (8829, GRN rec: No)Chinese, Huizhou: Qi-De (8830, GRN rec: No)Chinese, Huizhou: Xiu-Yi (8831, GRN rec: No)Chinese, Huizhou: Yanzhou (8832, GRN rec: No)","Jing-Zhan (08828)Ji-She (08829)Qi-De (08830)Xiu-Yi (08831)Yanzhou (08832)","Asia","CN","No"
"China","Chinese, Min Zhong [czo]","czo","Sino-Tibetan, Chinese","Sino-Tibetan","Yes","No","3,600,000","6a - Vigorous","Central Fujian (CN, L)Central Min (CN, L)Minzhonghua (CN, L)","Chinese, Min Zhong (8858, GRN rec: No)","","Asia","CN","No"
"China","Dong, Northern [doc]","doc","Kra-Dai, Kam-Tai, Kam-Sui","Kra-Dai","Yes","No","463","6b - Threatened","Gam (CN, L)Kam (CN, L)Lix Gaeml (CN, L)Tong (CN, L)Tung (CN, L)Tung-Chia (CN, L)","Dong, Northern (9397, GRN rec: No)","","Asia","CN","No"
"China","Daur [dta]","dta","Mongolic, Eastern, Dagur","Mongolic","Yes","No","98,2","7 - Shifting","Aihui (CN, L)Bataxan (CN, L)Bataxan (MN, L)Butah (CN, L)Darbin (CN, L)Fularji (CN, L)Hailar (CN, L)Hailar (MN, L)Jiangdong (CN, L)Jingxi (CN, L)Mergen (CN, L)Mokertu (CN, L)Nantun (CN, L)Nawen (CN, L)Nemor (CN, L)Qiqihar (CN, L)Qiqihar (MN, L)Tsitsikhar (CN, L)Tsitsikhar (MN, L)Daguor (CN, L)Daguor (MN, L)Dagur (CN, L)Dagur (MN, L)Dawar (CN, L)Dawar (MN, L)Dawo'er (CN, L)Dawo'er (MN, L)Tahuerh (CN, L)Tahuerh (MN, L)Tahur (CN, L)Tahur (MN, L)","Daur (4776, GRN rec: Yes)Daur (4776, GRN rec: Yes)Daur: Buteha (9156, GRN rec: No)Daur: Buteha (9156, GRN rec: No)Daur: Haila'er (9157, GRN rec: Yes)Daur: Haila'er (9157, GRN rec: Yes)Daur: Qiqiha'er (9158, GRN rec: No)Daur: Qiqiha'er (9158, GRN rec: No)Daur: Ili (24849, GRN rec: No)Daur: Ili (24849, GRN rec: No)","Buteha (09156)Haila'er (09157)Qiqiha'er (09158)Ili (24849)","Asia","CN","No"
"China","Drung [duu]","duu","Sino-Tibetan, Tibeto-Burman, Central Tibeto-Burman, Nungish","Sino-Tibetan","Yes","No","14,225","6a - Vigorous","Central Dulongjiang (CN, L)Derung River (CN, L)Northern Dulongjiang (CN, L)Nujiang Dulong (CN, L)Southern Dulongjiang (CN, L)Derung (MM, L)Dulong (CN, L)Dulong (MM, L)Durung (MM, L)Kiao (CN, L)Kiu (CN, L)Kiupa (CN, L)Kiutze (CN, L)Qiu (CN, L)Qiu (MM, L)Qiuzi (CN, L)Rawang (MM, L)Taron (CN, L)Tarong (MM, L)Thrung (MM, L)Trone (MM, L)Trung (CN, L)Trung (MM, L)T'rung (MM, L)Tulung (MM, L)Tvrung (CN, L)Tvrung (MM, L)","Drung (6227, GRN rec: Yes)Drung (6227, GRN rec: Yes)Drung: Nu River (9417, GRN rec: No)Drung: Nu River (9417, GRN rec: No)","Nu River (09417)","Asia","CN","No"
"China","E [eee]","eee","Mixed language","Mixed language","Yes","No","7","6b - Threatened","Ai Hua (CN, L)E Hwen (CN, L)E Xwen (CN, L)Ea (CN, L)Eahua (CN, L)Ei (CN, L)Kjang E (CN, L)","E (9506, GRN rec: No)","","Asia","CN","Yes"
"China","Minyag, Eastern [emq]","emq","Sino-Tibetan, Tibeto-Burman, Northeastern Tibeto-Burman, Qiangic","Sino-Tibetan","Yes","No","2","6b - Threatened","Munya (CN, L)Muya (CN, L)Shimian Minyag (CN, L)Shimian Munya (CN, L)Shimian Muya (CN, L)","Minyag, Eastern (26820, GRN rec: No)","","Asia","CN","Yes"
"China","Enu [enu]","enu","Sino-Tibetan, Tibeto-Burman, Ngwi-Burmese, Ngwi, Southern","Sino-Tibetan","Yes","No","14","6b - Threatened","Ximoluo (CN, L)","Enu (20350, GRN rec: No)","","Asia","CN","Yes"
"China","Horpa [ero]","ero","Sino-Tibetan, Tibeto-Burman, Northeastern Tibeto-Burman, rGyalrongic","Sino-Tibetan","Yes","No","45","6b - Threatened","Daofu (CN, L)Dawu (CN, L)Geshiza (CN, L)Nyarong Minyak (CN, L)rTau (CN, L)Xinlong-Muya (CN, L)Bawang (CN, L)Bopa (CN, L)Danba (CN, L)Daofu (CN, L)Daofuhua (CN, L)Dawu (CN, L)Ergong (CN, L)Geshitsa (CN, L)Geshiza (CN, L)Geshizahua (CN, L)Hor (CN, L)Hórsók (CN, L)Huo'er (CN, L)Nyagrong-Minyag (CN, L)Pawang (CN, L)Rgu (CN, L)rTau (CN, L)sTau (CN, L)Western Gyarong (CN, L)Western Jiarong (CN, L)Xinlong-Muya (CN, L)","Horpa (10686, GRN rec: No)Daofu (10687, GRN rec: No)Geshiza (10688, GRN rec: No)","Daofu (10687)Geshiza (10688)","Asia","CN","No"
"China","Ersu [ers]","ers","Sino-Tibetan, Tibeto-Burman, Northeastern Tibeto-Burman, Ersuish","Sino-Tibetan","Yes","No","20","7 - Shifting","Central Ersu (CN, L)Eastern Ersu (CN, L)Liru (CN, L)Lüzü (CN, L)Western Ersu (CN, L)Bu'erci (CN, L)Bu'erzi (CN, L)Bu'erzi Ersu (CN, L)Doxu (CN, L)Duoxu (CN, L)Erhsu (CN, L)Lizu (CN, L)Lusu (CN, L)T'osu (CN, L)","Ersu (9645, GRN rec: No)Duoxu (9646, GRN rec: No)Lizu (9647, GRN rec: No)","Duoxu (09646)Lizu (09647)","Asia","CN","No"
"China","Evenki [evn]","evn","Tungusic, Northern, Evenki","Tungusic","Yes","No","16,83","6b - Threatened","Hoy (CN, L)Mergel (CN, L)Old Bargu (CN, L)Olguya (CN, L)Avanki (RU, L)Avankil (RU, L)Chapogir (RU, L)Ewenk (CN, L)Ewenke (CN, L)Ewenke (MN, L)Ewenki (CN, L)Ewenki (MN, L)Ewenki (RU, L)Khamnigan (CN, L)Khamnigan (MN, L)Khamnigan (RU, L)Khamnigan Ewenki (MN, L)Khamnigan Mongol (MN, L)Owenke (CN, L)Solon (CN, L)Solon (MN, L)Solon (RU, L)Solong (CN, L)Sulong (CN, L)Suolun (CN, L)Tungus (MN, L)Tungus (RU, L)Tungus Ewenki (MN, L)","Evenki (4697, GRN rec: Yes)Evenki (4697, GRN rec: Yes)Evenki (4697, GRN rec: Yes)Evenki: Aldan Timpton (9680, GRN rec: No)Evenki: Aldan Timpton (9680, GRN rec: No)Evenki: Aldan Timpton (9680, GRN rec: No)Evenki: Aoluguya (9681, GRN rec: No)Evenki: Aoluguya (9681, GRN rec: No)Evenki: Aoluguya (9681, GRN rec: No)Evenki: Ayan-Maya (9682, GRN rec: No)Evenki: Ayan-Maya (9682, GRN rec: No)Evenki: Ayan-Maya (9682, GRN rec: No)Evenki: Cemdalsk (9683, GRN rec: No)Evenki: Cemdalsk (9683, GRN rec: No)Evenki: Cemdalsk (9683, GRN rec: No)Evenki: Chenba'erhu (9684, GRN rec: No)Evenki: Chenba'erhu (9684, GRN rec: No)Evenki: Chenba'erhu (9684, GRN rec: No)Evenki: Haila'er (9687, GRN rec: No)Evenki: Haila'er (9687, GRN rec: No)Evenki: Haila'er (9687, GRN rec: No)Evenki: Ilimpeya (9688, GRN rec: No)Evenki: Ilimpeya (9688, GRN rec: No)Evenki: Ilimpeya (9688, GRN rec: No)Evenki: Jeltulak (9689, GRN rec: No)Evenki: Jeltulak (9689, GRN rec: No)Evenki: Jeltulak (9689, GRN rec: No)Evenki: Kalar (9690, GRN rec: No)Evenki: Kalar (9690, GRN rec: No)Evenki: Kalar (9690, GRN rec: No)Evenki: Kur-Urmi (9691, GRN rec: No)Evenki: Kur-Urmi (9691, GRN rec: No)Evenki: Kur-Urmi (9691, GRN rec: No)Evenki: Lower Nepa Tungir (9692, GRN rec: No)Evenki: Lower Nepa Tungir (9692, GRN rec: No)Evenki: Lower Nepa Tungir (9692, GRN rec: No)Evenki: Nakanna (9693, GRN rec: No)Evenki: Nakanna (9693, GRN rec: No)Evenki: Nakanna (9693, GRN rec: No)Evenki: Nepa (9694, GRN rec: No)Evenki: Nepa (9694, GRN rec: No)Evenki: Nepa (9694, GRN rec: No)Evenki: Podkamennaya Tunguska (9695, GRN rec: No)Evenki: Podkamennaya Tunguska (9695, GRN rec: No)Evenki: Podkamennaya Tunguska (9695, GRN rec: No)Evenki: Poligus (9696, GRN rec: No)Evenki: Poligus (9696, GRN rec: No)Evenki: Poligus (9696, GRN rec: No)Evenki: Sakhalin (9697, GRN rec: No)Evenki: Sakhalin (9697, GRN rec: No)Evenki: Sakhalin (9697, GRN rec: No)Evenki: Sym (9698, GRN rec: No)Evenki: Sym (9698, GRN rec: No)Evenki: Sym (9698, GRN rec: No)Evenki: Tokko (9699, GRN rec: No)Evenki: Tokko (9699, GRN rec: No)Evenki: Tokko (9699, GRN rec: No)Evenki: Tokmo-Upper Lena (9700, GRN rec: No)Evenki: Tokmo-Upper Lena (9700, GRN rec: No)Evenki: Tokmo-Upper Lena (9700, GRN rec: No)Evenki: Tommot (9701, GRN rec: No)Evenki: Tommot (9701, GRN rec: No)Evenki: Tommot (9701, GRN rec: No)Evenki: Tuguro-chumikan (9702, GRN rec: No)Evenki: Tuguro-chumikan (9702, GRN rec: No)Evenki: Tuguro-chumikan (9702, GRN rec: No)Evenki: Tutoncana (9703, GRN rec: No)Evenki: Tutoncana (9703, GRN rec: No)Evenki: Tutoncana (9703, GRN rec: No)Evenki: Uchama (9704, GRN rec: No)Evenki: Uchama (9704, GRN rec: No)Evenki: Uchama (9704, GRN rec: No)Evenki: Uchur (9705, GRN rec: No)Evenki: Uchur (9705, GRN rec: No)Evenki: Uchur (9705, GRN rec: No)Evenki: Vanavara (9706, GRN rec: No)Evenki: Vanavara (9706, GRN rec: No)Evenki: Vanavara (9706, GRN rec: No)Evenki: Yerbogocen (9707, GRN rec: No)Evenki: Yerbogocen (9707, GRN rec: No)Evenki: Yerbogocen (9707, GRN rec: No)Evenki: Zeya-Bureya (9708, GRN rec: No)Evenki: Zeya-Bureya (9708, GRN rec: No)Evenki: Zeya-Bureya (9708, GRN rec: No)Evenki: Baykit (24145, GRN rec: No)Evenki: Baykit (24145, GRN rec: No)Evenki: Baykit (24145, GRN rec: No)Evenki: Huihe (24146, GRN rec: No)Evenki: Huihe (24146, GRN rec: No)Evenki: Huihe (24146, GRN rec: No)Evenki: Manegir (24147, GRN rec: No)Evenki: Manegir (24147, GRN rec: No)Evenki: Manegir (24147, GRN rec: No)Evenki: Morigele (24148, GRN rec: No)Evenki: Morigele (24148, GRN rec: No)Evenki: Morigele (24148, GRN rec: No)Evenki: Cis-Baikalia (24161, GRN rec: No)Evenki: Cis-Baikalia (24161, GRN rec: No)Evenki: Cis-Baikalia (24161, GRN rec: No)Evenki: Khamnigan (28671, GRN rec: No)Evenki: Khamnigan (28671, GRN rec: No)Evenki: Khamnigan (28671, GRN rec: No)","Aldan Timpton (09680)Aoluguya (09681)Chenba'erhu (09684)Haila'er (09687)Ilimpeya (09688)Nakanna (09693)Nepa (09694)Poligus (09696)Sakhalin (09697)Tokko (09699)Tommot (09701)Tuguro-chumikan (09702)Vanavara (09706)Yerbogocen (09707)Huihe (24146)Morigele (24148)Khamnigan (28671)","Asia","CN","No"
"China","Chinese, Gan [gan]","gan","Sino-Tibetan, Chinese","Sino-Tibetan","Yes","No","22,600,000","5 - Developing","Chang-Jing (CN, L)Nanchang (CN, L)Jiangxi (CN, L)Jiangxi hua (CN, L)Jiangxinese (CN, L)Kan (CN, L)Xi (CN, L)","Chinese, Gan (8813, GRN rec: No)Chinese, Gan: Chang-Jing (8814, GRN rec: No)Chinese, Gan: Fu-Guang (8815, GRN rec: No)Chinese, Gan: Ji-Cha (8816, GRN rec: No)Chinese, Gan: Jiangxi (8817, GRN rec: No)Chinese, Gan: Ying-Yi (8818, GRN rec: No)Chinese, Gan: Da-Tong (24932, GRN rec: No)Chinese, Gan: Dong-Sui (24933, GRN rec: No)Chinese, Gan: Huai-Yue (24934, GRN rec: No)Chinese, Gan: Lei-Zi (24935, GRN rec: No)Chinese, Gan: Chang-Du (24937, GRN rec: No)","Fu-Guang (08815)Ji-Cha (08816)Ying-Yi (08818)","Asia","CN","No"
"China","Duoluo [giw]","giw","Kra-Dai, Kra, Western Kra","Kra-Dai","Yes","No","1,22","8b - Nearly Extinct","Bai Gelo (CN, L)Southwestern Gelao (VN, L)Telue (VN, L)Tú Du (VN, L)White Gelao (CN, L)","Galao, White (6046, GRN rec: Yes)Galao, White (6046, GRN rec: Yes)Miao: Ya Que (6248, GRN rec: Yes)Miao: Ya Que (6248, GRN rec: Yes)Miao: Tu'lu (28677, GRN rec: No)Miao: Tu'lu (28677, GRN rec: No)","Ya Que (06248)Tu'lu (28677)","Asia","CN","No"
"China","Guiqiong [gqi]","gqi","Sino-Tibetan, Tibeto-Burman, Northeastern Tibeto-Burman, Qiangic","Sino-Tibetan","Yes","No","6","6b - Threatened","Guichong (CN, L)Guiqiang (CN, L)Yutong (CN, L)","Guiqiong (10394, GRN rec: No)","","Asia","CN","Yes"
"China","Qau [gqu]","gqu","Kra-Dai, Kra, Western Kra","Kra-Dai","Yes","No","2","8b - Nearly Extinct","Aqao (CN, L)Aqaw (CN, L)Chilao (CN, L)Gao (CN, L)Gao Gelao (CN, L)Gelo (CN, L)Ilao (CN, L)Kehlao (CN, L)Keh-lao (CN, L)Kelao (CN, L)Keleo (CN, L)Khi (CN, L)Klo (CN, L)","Qau (10151, GRN rec: No)","","Asia","CN","No"
