dialect_code,variant_name
00232,Itawes
00232,Itawes at Itawes: Rizal
00232,Itawes & Itawes: Rizal
00232,Itawes: Rizal
00232,Itawes Tuao
00232,Itawit
00232,"Itawit, Itawesi Tuao"
00232,Itawit: Itawis
00232,Risal
00237,Akimel O'odham
00237,Papago-Pima
00237,Pima
00237,Tohono O'odham: Akimel
00237,Tohono O'odham: Akimel O'odham
00239,Chin
00239,"Chin, Falam: Zanniat"
00239,Zahnyiet
00239,Zanniat Chin
00239,Zanniet
00239,"चिन, फलम: ज़नियत"
00241,Haw
00241,Ho
00241,Mandarin Chinese: Yunnanese
00241,Mandarin: Western
00241,Western Mandarin
00241,Yunanese
00241,จีนยูนนาน
00241,云南话
00241,官話; 北方話
00242,Bhili: Mauchi
00242,Mauchi Bhili
00242,Mawchi
00242,Vasave
00242,भीली
00242,भीली: मौछी
00251,Arapaho
00251,Arapahoe
00251,Arapahoe: Southern
00251,Arrapahoe
00251,Hinono'eitiit
00251,Hinóno'eitíít
00259,Tagbanua: Silanganon
00259,Tagbanwa: Silangang bahagi
00259,Tagbanwa: Silanganon
00264,Ilanum
00264,Illanon
00264,Iranon
00264,Iranon: Ilanon
00264,Iranun
00264,Lanao
00264,Maguindanaon: Ilanon
00264,Moro of Lanao
00284,Kalagan: Isamal
00293,Badjaw
00293,Bajau Pela'u
00293,Central Sama
00293,Central Sinama
00293,Orang Laut
00293,Sama
00293,"Sama, Central"
00293,"Sama, Central: Siasi"
00293,Sama Dilaut
00293,Sama Kabinga'an
00293,Samal
00293,Samal: Sulu
00293,Sama Mandelaut
00293,Sama Pala'u
00293,Sama Siasi
00293,"Sama, Siasi"
00293,Sama Sitangkai
00293,Sama Ubian
00293,Siasi Sama
00293,Sinama
00298,Blowo
00298,Da
00298,Dan
00298,Gio-Dan
00298,Gyo
00298,Yacouba
00298,Yakuba
00302,Maranao: Eastern
00302,Maranao: Silangang bahagi
00313,Afan Mao
00313,Amam
00313,Gogwama
00313,Goma
00313,Koma of Asosa
00313,Kwama
00313,Nokanoka
00313,North Koma
00313,Takwama
00313,T'wa Kwama
00315,Chiehn
00315,"Krahn, Eastern: Tchien"
00315,Krahn: Tchien
00316,Glaro-Twabo
00316,Glaro-Twabo: Twabo
00316,Twarbo
00322,Eastern Pahari
00322,Gorkhali
00322,Khas
00322,Nepali: Darjeeling
00322,नेपाली
00327,Fula: Kunda
00327,Fulkunda
00327,Peul
00327,Pouhl
00327,Pulaar
00327,Pulaar: Fulacunda
00328,Havasupai
00328,Havasupai Walapai
00328,Havasupai-Walapai-Yavapai: Walapai
00328,Hualapai
00328,Hualpai
00328,Hwalba¡y
00328,Hwalbay
00328,Hwalbã¡y
00328,Pai
00329,Havasupai-Walapai-Yavapai: Havasupai
00329,Pai
00329,Upland Yuman
00329,Upper Colorado River Yuman
00333,Cheva
00333,Chewa
00333,Chichewa
00333,Chichewa: Nyanja
00333,Chinyanja
00333,Chipeta
00333,Cichewa
00333,Cinyanja
00333,Nyanja: Chewa
00333,Nyasa
00333,Peta
00333,Sheva
00334,"Karen, Pa'o"
00334,"Karen, Pa'o: Southern"
00334,Pa'o
00334,Pa-o
00334,Pa-oh
00334,Paoh
00334,Pa-oh: Southern
00334,Pa'o Karen
